PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
P	SHI S; HUO S; WU B; LIU B; ZHANG J; YU X								Method for tracing atmospheric micro-plastic based            on clustering analysis and factor analysis, involves            endowing specific environmental source physical meaning            to each analyzed potential factor, and outputting            quantitative contribution rate and space-time            distribution characteristic of each source																																		0							POLYMER SCIENCE; COMPUTER SCIENCE HARDWARE ARCHITECTURE; ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY	DIIDW:202658383C		
P	CHANG X								Radio frequency identification (RFID) electronic            anti-fake traceability label, has locating column that            rotates around plastic shell, and buckle needle that            connects plastic shell with external clothes																																		0							ENGINEERING ELECTRICAL ELECTRONIC; ELECTROCHEMISTRY; COMPUTER SCIENCE HARDWARE ARCHITECTURE; POLYMER SCIENCE	DIIDW:202653751U		
P	LI X; JIANG Z; WU Z; QU G								Traceability glass fiber reinforced plastic pipe            for use in e.g. chemical industry, has marking unit            comprising wireless identification chip for storing            pipeline material information, and two-dimensional code            adhered on chip																																		0							ENGINEERING ELECTRICAL ELECTRONIC; INSTRUMENTS INSTRUMENTATION; COMPUTER SCIENCE HARDWARE ARCHITECTURE; ENGINEERING MECHANICAL; POLYMER SCIENCE	DIIDW:2026560688		
P	HU H; LI Z								Method for performing digital management of            plastic fitting workshop, involves updating execution            state of corresponding plastic fitting production            process in manufacturing execution system based on            process completion identifier																																		0							ENGINEERING ELECTRICAL ELECTRONIC; POLYMER SCIENCE; ELECTROCHEMISTRY; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:202650748L		
P	HEINZ C; FRISCH O; KRULL S								Method for manufacturing plastic part e.g.            headlight element, door panel element, support part and            seal, of vehicle, involves generating label, where            section of provided injection mold adapted to integrate            marking onto section																																		0							POLYMER SCIENCE; ENGINEERING ELECTRICAL ELECTRONIC; COMPUTER SCIENCE HARDWARE ARCHITECTURE	DIIDW:202647588S		
P	CHEN W; LIANG G; LV X; YIN F								Traceable and anti-counterfeit plastic bristles,            where plastic brush wire is prepared by extruding and            drawing after blending and melting polymer substrate            and tracing masterbatch, which includes carrier resin,            marker, and dispersing agent																																		0							IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY; ENGINEERING ELECTRICAL ELECTRONIC; INSTRUMENTS INSTRUMENTATION; POLYMER SCIENCE; MATERIALS SCIENCE TEXTILES	DIIDW:202648570T		
P	WANG Q; HE Z; LIAO D; SHI B; XIONG R; ZHAO F; YAN G; HUANG Z								Method for automatically identifying and tracking            lottery bundle, involves binding lottery bundle            information with state mark and corresponding tracking            code, and writing into quality tracking database of            lottery system																																		0							COMPUTER SCIENCE HARDWARE ARCHITECTURE; ELECTROCHEMISTRY; ENGINEERING ELECTRICAL ELECTRONIC; POLYMER SCIENCE; AUTOMATION CONTROL SYSTEMS; INSTRUMENTS INSTRUMENTATION	DIIDW:202645782F		
P	LI Z; GAO J								Packaging box with traceable label, has clamping            mechanism that is set in mounting seat to realize            clamping effect between upper cover portion and packing            box main portion																																		0							POLYMER SCIENCE; INSTRUMENTS INSTRUMENTATION; ENGINEERING MECHANICAL	DIIDW:202651672C		
P	YANG C; LIN Y								Method for anti-fake traceability chip of clothes            auxiliary material intelligent label, involves            performing structure reconstruction and            anti-interference encapsulation on anti-fake            cryptograph of textile auxiliary material																																		0							COMPUTER SCIENCE HARDWARE ARCHITECTURE; POLYMER SCIENCE; CHEMISTRY APPLIED; ELECTROCHEMISTRY; ENGINEERING ELECTRICAL ELECTRONIC; MATERIALS SCIENCE TEXTILES	DIIDW:2026429791		
P	MAO X; ZHOU Y; LIAO C								Method for processing marine plastic based on            blockchain, involves generating credit line information            and environment-friendly integral information            corresponding to product according to transaction            result of product																																		0							COMPUTER SCIENCE HARDWARE ARCHITECTURE; ENGINEERING ELECTRICAL ELECTRONIC; TELECOMMUNICATIONS	DIIDW:202641643M		
