"Espacenet";"";"";"";"";"";"";"";"";
"Recherche de brevets";"";"";"";"";"";"";"";"";
"1 résultat trouvé pour plastic recycling AND traceability";"";"";"";"";"";"";"";"";
"Résultats affichés : 1 à 500";"";"";"";"";"";"";"";"";
"Langue de la requête: en / de / fr";"";"";"";"";"";"";"";"";
"Trier par: Pertinence";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titre";"Inventeurs";"Demandeurs";"Numéro de publication";"Priorité la plus ancienne";"CIB";"CPC";"Date de publication";"Publication la plus ancienne";"Numéro de famille";
"1";"RECYCLING TRACEABILITY SYSTEM";"OYAMA TAKASHI 
KIMURA SHIGEYOSHI";"WORLD LINK INC";"JP2023033777A";"2021-08-30";"B29B17/02 
C08J11/10 
C08J11/12";"Y02W30/62 (EP)";"2023-03-13";"2023-03-13";"085504960";
"2";"Method and device for modifying and recycling waste plastics";"WU YANG 
BAO DONGDONG 
SUN WEIMIN 
LE LE 
PENG YAN 
TANG YILONG 
ZHANG TONGQING 
YANG XIAOBO 
CHEN HAIJIE";"SHENZHEN LUHUAN RESOURCES RECYCLING DEV LTD";"CN120134496A";"2025-04-01";"B29B17/00 
B29B17/02 
C08G65/48 
C08G75/0286";"B29B17/00 (CN) 
B29B17/02 (CN) 
C08G65/48 (CN) 
C08G75/0286 (CN) 
B29B2017/0015 (CN) 
B29B2017/0262 (CN) 
B29B2017/0272 (CN) 
Y02W30/62 (EP)";"2025-06-13";"2025-06-13";"095952419";
"3";"Daily washing and packaging modular recycling and reclaimed material grading utilization system and method";"ZHAO HONGZE 
PENG JIAPIN 
SHAO TIANZHI 
CHEN HUIHUA";"GUANGZHOU LIYING PLASTIC CO LTD";"CN121870963A";"2025-12-24";"B29B17/00 
B29B17/02 
B29B17/04 
G06Q10/30 
G06Q30/018 
G06Q30/0202";"B29B17/00 (CN) 
B29B17/02 (CN) 
B29B17/04 (CN) 
G06Q10/30 (CN) 
G06Q30/018 (CN) 
G06Q30/0206 (CN) 
B29B2017/001 (CN) 
B29B2017/0015 (CN) 
B29B2017/0203 (CN)";"2026-04-17";"2026-04-17";"099406389";
"4";"Post-consumption plastic recovery tracing system and tracing method thereof";"LU MANCHENG";"ZHAOQING TEPUAI HIGH POLYMER MAT CO LTD";"CN121235716A 
CN121235716B";"2025-09-28";"B31B70/74 
B65C9/02 
G06F16/901 
G06F16/9038 
G06F16/907 
G06K17/00 
G06K19/06 
G06Q10/20 
G06Q30/018";"";"2025-12-30 
2026-04-14";"2025-12-30";"098160762";
"5";"Modular display structure based on tool-free disassembly and material traceability and disassembly method thereof";"MA WENMING 
SUN YEZHI 
DONG LEI 
WANG LIXIN 
LI XUDONG 
LIU WENBIN 
ZHU RUIQI 
MENG XIANGKAI";"SHANDONG INSPUR CHAOGAOQING INTELLIGENT TECH CO LTD";"CN120375708A";"2025-04-09";"B09B3/70 
B09B5/00 
G06F16/25 
G06Q10/30 
G09F9/30 
H05K1/02 
H05K5/02 
H05K7/14 
B09B101/15";"B09B3/70 (CN) 
B09B5/00 (CN) 
G06F16/25 (CN) 
G06Q10/30 (CN) 
G09F9/30 (CN) 
H05K1/0203 (CN) 
H05K5/0217 (CN) 
H05K7/1401 (CN) 
B09B2101/15 (CN)";"2025-07-25";"2025-07-25";"096452496";
"6";"On-cart recycling data collection system";"LANGDON LORNA LOUISE [GB]";"LANGDON LORNA LOUISE [GB]";"GB2416612A";"2004-07-22";"B65F1/00 
B65F1/14 
B65F3/00 
G06K7/08";"B65F1/0033 (EP) 
B65F1/1484 (EP) 
B65F3/005 (EP) 
B65F2210/164 (EP) 
B65F2210/184 (EP) 
Y02W30/10 (EP)";"2006-02-01";"2006-02-01";"032922606";
"7";"Recycled plastic anti-counterfeiting traceability code generation equipment and verification equipment";"CHEN LONG 
LYU HUAIXING 
NIU YUANHANG 
DONG LIPENG 
LONG BANGBO 
LIU YUQING 
HE XIN";"JIANGXI GREEN CYCLE IND CO LTD 
HENAN GREEN CYCLE ELECTRONIC WASTE DISPOSAL CO LTD";"CN219246099U";"2022-10-27";"G06F21/64 
G06Q30/018";"";"2023-06-23";"2023-06-23";"086806384";
"8";"High-precision short-wave infrared hyperspectral imaging soil plastic in-situ detection method and device";"HE SAILING 
ZHU HE 
LUO JING";"UNIV ZHEJIANG";"CN120451842A 
CN120451842B";"2025-07-09";"G06N3/045 
G06N3/0464 
G06V10/26 
G06V10/764 
G06V10/80 
G06V10/82 
G06V20/10 
G06V20/17";"";"2025-08-08 
2025-10-10";"2025-08-08";"096606214";
"9";"Recyclable plastic tracing system based on block chain";"LIU YUE 
ZHONG RONGDONG 
LI TONGBING";"GUANGDONG ATP POLYMER TECH CO LTD";"CN117391720A 
CN117391720B";"2023-08-31";"G06F16/215 
G06F16/27 
G06F21/64 
G06K19/06 
G06K19/077 
G06Q10/10 
G06Q10/30 
G06Q30/018 
G06Q50/26 
H04L67/104 
H04L67/1097";"G06F16/215 (CN) 
G06F16/27 (CN) 
G06F21/64 (CN) 
G06K19/06018 (CN) 
G06K19/06037 (CN) 
G06K19/07758 (CN) 
G06Q10/103 (CN) 
G06Q10/30 (CN) 
G06Q30/0185 (CN) 
G06Q50/26 (CN) 
H04L67/104 (CN) 
H04L67/1097 (CN)";"2024-01-12 
2024-05-03";"2024-01-12";"089462450";
"10";"Plastic supply chain tracing system and method based on block chain technology";"XIE YUHUI 
TONG DASHAN 
KONG DEYANG 
LI YONGMEI";"GUANGZHOU SOULIAO INFORMATION TECH CO LTD";"CN117853016A";"2024-01-17";"G06Q10/087 
G06Q10/30 
G06Q30/0201 
G06Q50/04 
H04L9/00";"G06Q10/087 (CN) 
G06Q10/30 (CN) 
G06Q30/0201 (CN) 
G06Q50/04 (CN) 
H04L9/50 (CN)";"2024-04-09";"2024-04-09";"090536039";
