PN 	 TI 	 AU 	 AE 	 GA 	 AB 	 TF 	 EA 	 DC 	 MC 	 IP 	 PD 	 AD 	 FD 	 PI 	 DS 	 FS 	 CP 	 CR 	 DN 	 MN 	 RI 	 CI 	 RG
KR2022143184-A	Method for diagnosing gallbladder cancer based on            artificial intelligence, involves acquiring source data            and generating data for artificial intelligence            learning by purifying acquired source data, where            generated data is stored in information system	HAN-SEOK K;  YOO Y S;  SRINIVASAN G;  PERUMALLA A	PMAX CO LTD (PMAX-Non-standard)	2022D7669M	   NOVELTY - The method involves acquiring source data.                Data for artificial intelligence learning is                generated by purifying the acquired source data.                The generated data for artificial intelligence                learning is stored in a gallbladder cancer                diagnosis information system. The gallbladder                cancer is automatically detected through an                artificial intelligence model learned based on the                artificial intelligence learning data stored in the                gallbladder cancer diagnosis information                system.    USE - Method for diagnosing gallbladder cancer based                on artificial intelligence.    ADVANTAGE - The method enables learning artificial                intelligence through the artificial intelligence                learning data to add diagnostic images and clinical                data important for diagnosis of gallbladder cancer                so as to provide objective and accurate diagnosis                through the learned artificial intelligence.    DESCRIPTION OF DRAWING(S) - The drawing shows a schematic diagram                illustrating UI of software for diagnosing                gallbladder cancer to which the method for                diagnosing gallbladder cancer is applied. 			P31 (Diagnosis, surgery (A61B).);  S05 (Electrical Medical Equipment);  T01 (Digital Computers)	P31-A05;  S05-D01;  S05-D06;  S05-D08A;  S05-G02G2;  T01-J06A1;  T01-J16	A61B-005/00;  A61B-005/055;  A61B-006/00;  A61B-006/03;  A61B-008/08;  G16H-030/20;  G16H-030/40;  G16H-050/20;  G16H-050/30	KR2022143184-A   25 Oct 2022   G16H-050/20   202296Pages: 13   	KR2022143184-A    KR048269    14 Apr 2021		KR048269    14 Apr 2021										
IN202241027522-A	Artificial intelligence-based approach for studying molecular biological aspects of patients suffering from cancer comprises artificial intelligence unit, predictive unit and cloud server	SUBBURAYALU S;  VARMA A K;  SAINI K S;  KAUR S;  YADAV S K;  SHUKLA P C;  KUMAR A;  BALAJI V;  SETHI N S;  WALID A A;  KUMUD P;  ANANDARAM H	SUBBURAYALU S (SUBB-Individual);  VARMA A K (VARM-Individual);  SAINI K S (SAIN-Individual);  KAUR S (KAUR-Individual);  YADAV S K (YADA-Individual);  SHUKLA P C (SHUK-Individual);  KUMAR A (KUMA-Individual);  BALAJI V (BALA-Individual);  SETHI N S (SETH-Individual);  WALID A A (WALI-Individual);  KUMUD P (KUMU-Individual);  ANANDARAM H (ANAN-Individual)	202276502F	   NOVELTY - Artificial intelligence based approach for studying molecular biological aspects of patients suffering from cancer (100) comprises artificial intelligence unit (103), predictive unit (104) and cloud server (106).    USE - The artificial intelligence based approach is useful for studying molecular biological aspects of patients suffering from cancer.    ADVANTAGE - The artificial intelligence based approach efficiently analyzes cancer patient at molecular level.    DESCRIPTION OF DRAWING(S) - The drawing shows block diagram of an artificial intelligence based approach to study molecular biological aspects of patients suffering from cancer.    Artificial intelligence based approach to study molecular biological aspects of patients suffering from cancer (100)    Artificial Intelligence unit (103)    Predictive unit (104)    Cloud server (106) 			B04 (Natural products and polymers. Including testing of body fluids (other than blood typing or cell counting), pharmaceuticals or veterinary compounds of unknown structure, testing of microorganisms for pathogenicity, testing of chemicals for mutagenicity or human toxicity and fermentative production of DNA or RNA. General compositions.);  D16 (Fermentation industry - including fermentation equipment, brewing, yeast production, production of pharmaceuticals and other chemicals by fermentation, microbiology, production of vaccines and antibodies, cell and tissue culture and genetic engineering.);  S05 (Electrical Medical Equipment);  T01 (Digital Computers)	B11-C08K;  B11-C11;  B12-K04;  D05-H09;  S05-G02G3;  T01-J16C4;  T01-N01A2;  T01-N01D3A;  T01-N01E	A61K-036/185;  A61K-039/395;  G06N-003/00;  G06N-003/12;  G06Q-010/06	IN202241027522-A   27 May 2022   A61K-039/395   202252Pages: 13   English	IN202241027522-A    IN41027522    13 May 2022		IN41027522    13 May 2022										
IN202241000502-A	Artificial intelligence-based cancer diagnosis and            treatment by using nanoparticles comprising image            registration unit, artificial intelligence unit, and            nanoparticle delivery unit	DEVI P;  SUBRAMANIYAN R;  BALASUBRAMANIAN K;  PRABU S N;  SHAIKH A W;  MALATHI M;  SRIVEL R;  SARAVANAN M;  AROKIARAJ D;  SEETHA M Y;  REDDY K L K;  KUMAR A A	DEVI P (DEVI-Individual);  SUBRAMANIYAN R (SUBR-Individual);  BALASUBRAMANIAN K (BALA-Individual);  PRABU S N (PRAB-Individual);  SHAIKH A W (SHAI-Individual);  MALATHI M (MALA-Individual);  SRIVEL R (SRIV-Individual);  SARAVANAN M (SARA-Individual);  AROKIARAJ D (AROK-Individual);  SEETHA M Y (SEET-Individual);  REDDY K L K (REDD-Individual);  KUMAR A A (KUMA-Individual)	202230561D	   NOVELTY - Artificial intelligence-based cancer diagnosis                and treatment by using nanoparticles comprising                image registration unit, artificial intelligence                unit, and nanoparticle delivery unit.    USE - The method is useful for diagnosing and                treating cancer based on artificial intelligence                (claimed). No biological data given.    ADVANTAGE - The method: has artificial intelligence unit                that helps for accurate identification of tumors                and cancerous cells; selectively targets cancerous                cells, which results in more accurate diagnosis and                early detection; enables the visualization of                cancer biomarkers that helps to identify the                specific stages of cancer cells, thus deciding upon                treatments which targets to the death of cancer                cells; facilitates implementation of nanoparticles                that helps to detect and diagnose cancer at                molecular level by developing biomarkers; utilizes                artificial intelligence that helps oncologists to                provide suitable and personalized therapy to cancer                patients; and improves the efficacy of cancer                treatment. 			B04 (Natural products and polymers. Including testing of body fluids (other than blood typing or cell counting), pharmaceuticals or veterinary compounds of unknown structure, testing of microorganisms for pathogenicity, testing of chemicals for mutagenicity or human toxicity and fermentative production of DNA or RNA. General compositions.);  D16 (Fermentation industry - including fermentation equipment, brewing, yeast production, production of pharmaceuticals and other chemicals by fermentation, microbiology, production of vaccines and antibodies, cell and tissue culture and genetic engineering.);  S03 (Scientific Instrumentation);  T01 (Digital Computers)	B11-C07B2;  B11-C11;  B11-C12;  B12-K04C;  B12-K04G2A;  B12-M11Q1;  B14-H01;  D05-H09;  S03-E09F;  S03-E14H3;  T01-J16	A61K-031/4745;  A61K-049/00;  B82Y-005/00;  C12Q-001/6886;  G01N-033/574	IN202241000502-A   21 Jan 2022   G01N-033/574   202228Pages: 14   English	IN202241000502-A    IN41000502    05 Jan 2022		IN41000502    05 Jan 2022										
KR2022143182-A	Method for improving accuracy of liver cancer            diagnosis model using normal and benign liver cancer            data, involves automatically detecting liver cancer            through artificial intelligence model learned based on            artificial intelligence learning data	HAN-SEOK K;  YOO Y S;  SRINIVASAN G;  PERUMALLA A	PMAX CO LTD (PMAX-Non-standard)	2022D7665K	   NOVELTY - The method involves acquiring source data. The                data for artificial intelligence learning is                generated by purifying the acquired source data.                The generated data for artificial intelligence                learning is stored in an imaging platform for                integrated artificial intelligence learning. The                liver cancer is automatically detected through an                artificial intelligence model learned based on the                artificial intelligence learning data stored in the                integrated imaging platform.    USE - Method for improving accuracy of diagnosis of                liver cancer using normal and benign liver cancer                data.    ADVANTAGE - The objective and accurate diagnosis is                provided through the learned artificial                intelligence. The clinical factors such as                diagnosis and prognosis of a disease are predicted                by collecting data for artificial intelligence                learning by dividing images of liver cancer, benign                tumors of liver, and normal liver.    DESCRIPTION OF DRAWING(S) - The drawing shows a schematic view showing an                integrated artificial intelligence learning imaging                platform to which the liver cancer diagnosis method                is applied. (Drawing includes non-English language                text) 			P31 (Diagnosis, surgery (A61B).);  S05 (Electrical Medical Equipment);  T01 (Digital Computers)	P31-A05;  S05-D01;  S05-D06;  S05-D08A;  S05-G02G9;  S05-P;  T01-J06A1;  T01-J16C1;  T01-J16C2	A61B-005/00;  G06N-020/00;  G06N-003/04;  G06N-003/08;  G16H-030/20;  G16H-030/40;  G16H-050/20;  G16H-050/50;  G16H-050/70	KR2022143182-A   25 Oct 2022   G16H-050/70   202296Pages: 14   	KR2022143182-A    KR048267    14 Apr 2021		KR048267    14 Apr 2021										
IN202341027779-A	Artificial Intelligence based approach to analyze            the Impact of Green Gold Nanoparticles in Cancer            Therapy and Diagnosis, has analysis unit, display unit,            classification algorithm and artificial intelligence            unit, where analysis unit analyzes impact of green gold            nanoparticles in treating cancer	VARSHNSY Y;  BAHETI M G;  JASTI P;  NADEEM S;  ALLA S;  NADENDLA A K C;  KARTHIKEYAN C;  INGILELA R S;  UVAREKA A P;  LOKHANDE S;  GANESH R;  UGANDAR R E	VARSHNSY Y (VARS-Individual);  BAHETI M G (BAHE-Individual);  JASTI P (JAST-Individual);  NADEEM S (NADE-Individual);  ALLA S (ALLA-Individual);  NADENDLA A K C (NADE-Individual);  KARTHIKEYAN C (KART-Individual);  INGILELA R S (INGI-Individual);  UVAREKA A P (UVAR-Individual);  LOKHANDE S (LOKH-Individual);  GANESH R (GANE-Individual);  UGANDAR R E (UGAN-Individual)	202351641D	   NOVELTY - Artificial Intelligence has analysis unit,                display unit, classification algorithm and                artificial intelligence unit.    USE - Artificial Intelligence based approach to                analyze the Impact of Green Gold Nanoparticles in                Cancer Therapy and Diagnosis.    ADVANTAGE - The artificial intelligence focuses on                analyzing the role of Green Gold Nanoparticles in                cancer therapy, aims at accurate diagnosis of                cancer, and provides a new and improved green gold                nanoparticles therapy for treatment and diagnosis                of cancer. 			B04 (Natural products and polymers. Including testing of body fluids (other than blood typing or cell counting), pharmaceuticals or veterinary compounds of unknown structure, testing of microorganisms for pathogenicity, testing of chemicals for mutagenicity or human toxicity and fermentative production of DNA or RNA. General compositions.);  P31 (Diagnosis, surgery (A61B).);  T01 (Digital Computers)	B05-A03B;  B14-H01;  B12-M11Q1;  B11-C11;  B12-K04G2A;  B12-K04E3;  B11-C08K;  P31-A05;  T01-J05B2;  T01-J06A;  T01-J16B	A61B-001/06;  A61K-039/00;  A61K-041/00;  A61P-035/00;  G06N-007/00	IN202341027779-A   05 May 2023   A61B-001/06   202342   English	IN202341027779-A    IN41027779    14 Apr 2023		IN41027779    14 Apr 2023					134772-0-0-0 D K					
IN202241020244-A	Image recognition system along with artificial intelligence for accurate prediction of lung cancer using various medical modalities, has artificial intelligence unit, prediction unit and resultant unit, and artificial intelligence unit analyses condition and stage of lung cancer	MANJUNATH B K;  VALARMATHY K;  THENMOZHI K;  TRIPATHY S S;  VENNILA J;  BADWAIK V J;  TAMIJESELVAN S;  VERMA D;  AGRAWAL A;  VAISHNAV Y;  SHARMA G;  VERMA S	MANJUNATH B K (MANJ-Individual);  VALARMATHY K (VALA-Individual);  THENMOZHI K (THEN-Individual);  TRIPATHY S S (TRIP-Individual);  VENNILA J (VENN-Individual);  BADWAIK V J (BADW-Individual);  TAMIJESELVAN S (TAMI-Individual);  VERMA D (VERM-Individual);  AGRAWAL A (AGRA-Individual);  VAISHNAV Y (VAIS-Individual);  SHARMA G (SHAR-Individual);  VERMA S (VERM-Individual)	202268732W	   NOVELTY - The image recognition system (100) has an artificial intelligence unit (107), a prediction unit (108) and a resultant unit (109). The artificial intelligence unit analyses the condition and stage of lung cancer by using the images of captured using medical modalities. The prediction unit predicts the exact stage of lung cancer. The resultant unit stores the results of prediction.    USE - Image recognition system along with artificial intelligence for accurate prediction of lung cancer using various medical modalities.    ADVANTAGE - The image recognition system scrutinizes the images and feeds the selected images to tarin the artificial intelligence module. The image recognition system integrates image recognition with artificial intelligence to predict the exact stage of lung cancer.    DESCRIPTION OF DRAWING(S) - The drawing shows a block diagram of the image recognition system along with artificial intelligence for accurate prediction of lung cancer using various medical modalities.    Image recognition system (100)    Cloud server (106)    Artificial intelligence unit (107)    Prediction unit (108)    Resultant unit (109) 			S03 (Scientific Instrumentation);  S05 (Electrical Medical Equipment);  T01 (Digital Computers)	S03-E13D;  S05-D;  T01-J06A;  T01-J10B2A;  T01-J16C1;  T01-N02A3C	G01N-001/40;  G06K-009/00;  G06K-009/20;  G06K-009/62;  G06N-003/04	IN202241020244-A   13 May 2022   G06K-009/62   202249Pages: 13   English	IN202241020244-A    IN41020244    04 Apr 2022		IN41020244    04 Apr 2022										
IN202221014164-A	Artificial intelligence guided system used to            route nanoparticles to cancer tumors and nullify their            growth, and control and stop growth of cancer cells and            delay stages of cancer, comprises artificial            intelligence unit and nanoparticles	CHOBE S S;  NERKAR C K;  NAGARAJ S;  VIJAYALAKSHMI M;  MALVIYA Y;  LODHI D S;  GOLANI P;  NAGDEV S;  MUDE G;  PATEL G P;  JAIMINI M;  SHARMA K	CHOBE S S (CHOB-Individual);  NERKAR C K (NERK-Individual);  NAGARAJ S (NAGA-Individual);  VIJAYALAKSHMI M (VIJA-Individual);  MALVIYA Y (MALV-Individual);  LODHI D S (LODH-Individual);  GOLANI P (GOLA-Individual);  NAGDEV S (NAGD-Individual);  MUDE G (MUDE-Individual);  PATEL G P (PATE-Individual);  JAIMINI M (JAIM-Individual);  SHARMA K (SHAR-Individual)	202273305D	   NOVELTY - Artificial intelligence guided system (100),                comprises artificial intelligence unit (102) and                nanoparticles.    USE - The system is useful for: routing                nanoparticles to cancer tumors and nullify their                growth (claimed); and controlling and stopping the                growth of cancer cells and delaying the stages of                cancer. No biological data given.    ADVANTAGE - The system controls and stops the growth of                cancer cells and delays the stages of cancer.    DESCRIPTION OF DRAWING(S) - The figure illustrates the block diagram of                an artificial intelligence guided system to route                the nanoparticles to the cancer tumors and nullify                their growth.    100Artificial intelligence guided                system    101Screening modality and their images in                unit    102Artificial intelligence unit    105Patient 			B04 (Natural products and polymers. Including testing of body fluids (other than blood typing or cell counting), pharmaceuticals or veterinary compounds of unknown structure, testing of microorganisms for pathogenicity, testing of chemicals for mutagenicity or human toxicity and fermentative production of DNA or RNA. General compositions.);  ;  D13 (Other foodstuffs and treatment - including preservation of food, milk, milk products, butter substitutes, edible oils and fats, non-alcoholic beverages, artificial sweeteners, food additives and animal feed (A23B-L).);  P34 (Sterilising, syringes, electrotherapy (A61L, M, N).);  S05 (Electrical Medical Equipment);  T01 (Digital Computers);  T06 (Process and Machine Control)	B11-C11;  B12-M11Q1;  B14-H01;  D03-H01T2B;  D05-H;  P34-A02;  S05-Y02;  T01-J06A1;  T01-J16;  T06-A05A;  T06-A07B;  T06-D02A;  T06-D02C	A23L-033/175;  A61K-039/395;  A61M-001/00;  G05B-013/04;  G16H-030/20	IN202221014164-A   20 May 2022   A61K-039/395   202296Pages: 13   English	IN202221014164-A    IN21014164    16 Mar 2022		IN21014164    16 Mar 2022										
IN202341087003-A	Artificial intelligence based approach for            accurate prediction of oral cancer in persons consuming            areca nuts, comprises artificial intelligence unit,            display unit, predictive unit and clustering unit	KUMAR P D;  RAO S C;  VIJAYALAKSHMI A;  LAKSHMI J A;  KUMAR V G;  KUMAR N M;  REDDY S K	VARDHAMAN ENG COLLEGE (VARD-Non-standard)	202408224W	   NOVELTY - Artificial intelligence based approach                comprises artificial intelligence unit (103),                display unit (106), predictive unit (105) and                clustering unit.    USE - Artificial intelligence based approach for                accurate prediction of oral cancer in persons                consuming areca nuts.    ADVANTAGE - The approach helps in predicting the influence                of areca nuts in causing oral cancer, comparing the                cancer patients suffering from oral cancer after                consuming areca and those who don't consume areca,                and analyzing the factors responsible for causing                oral cancer.    DESCRIPTION OF DRAWING(S) - The drawing shows a schematic view of an                artificial intelligence-based approach for accurate                prediction of oral cancer in persons consuming                areca nuts.    100System    101Database    103Artificial intelligence unit    105Predictive unit    106Display unit 			B04 (Natural products and polymers. Including testing of body fluids (other than blood typing or cell counting), pharmaceuticals or veterinary compounds of unknown structure, testing of microorganisms for pathogenicity, testing of chemicals for mutagenicity or human toxicity and fermentative production of DNA or RNA. General compositions.);  P31 (Diagnosis, surgery (A61B).);  T01 (Digital Computers)	B11-C11;  B11-C08;  B12-K04G2A;  P31-A05;  T01-J05B3;  T01-J06A;  T01-J16C2	A61B-005/00;  A61K-036/889;  A61P-019/08;  G06N-020/00;  G06N-005/04	IN202341087003-A   12 Jan 2024   A61K-036/889   202410   English	IN202341087003-A    IN41087003    19 Dec 2023		IN41087003    19 Dec 2023										
IN202211053620-A	Artificial intelligence based approach useful for            studying impact of topical nano adjuvant for            eradicating skin cancer, comprises artificial            intelligence unit, skin cancer cells, display unit,            predictive unit and nano adjuvant	SINGH S P;  DWIVEDI D;  SARAF S;  KUKREJA T;  PAUL S;  PRASAD J;  AHMAD A;  ISLAM R;  SRIVASTAVA S;  AGEY S S;  MOHANTY A;  PARIDA S	SINGH S P (SING-Individual);  DWIVEDI D (DWIV-Individual);  SARAF S (SARA-Individual);  KUKREJA T (KUKR-Individual);  PAUL S (PAUL-Individual);  PRASAD J (PRAS-Individual);  AHMAD A (AHMA-Individual);  ISLAM R (ISLA-Individual);  SRIVASTAVA S (SRIV-Individual);  AGEY S S (AGEY-Individual);  MOHANTY A (MOHA-Individual);  PARIDA S (PARI-Individual)	2022C91857	   NOVELTY - Artificial intelligence based approach                comprises artificial intelligence unit, skin cancer                cells (102), predictive unit (105), display unit                (106), and nano adjuvants.    USE - The artificial intelligence based approach is                useful for studying the impact of topical nano                adjuvants which are used for eradicating skin                cancer.    ADVANTAGE - None given.    DESCRIPTION OF DRAWING(S) - The drawing shows block diagram of artificial                Intelligence based approach to study the impact of                topical nano adjuvants for eradication of skin                cancer.    100System    101Database of nano adjuvants    102Skin cancer cells    105Predictive unit    106Display unit 			B04 (Natural products and polymers. Including testing of body fluids (other than blood typing or cell counting), pharmaceuticals or veterinary compounds of unknown structure, testing of microorganisms for pathogenicity, testing of chemicals for mutagenicity or human toxicity and fermentative production of DNA or RNA. General compositions.);  D16 (Fermentation industry - including fermentation equipment, brewing, yeast production, production of pharmaceuticals and other chemicals by fermentation, microbiology, production of vaccines and antibodies, cell and tissue culture and genetic engineering.);  S05 (Electrical Medical Equipment);  T01 (Digital Computers)	B04-F02A;  B11-C08;  B11-C11;  B11-C12;  B12-K04G2A;  B12-M12B;  D05-H09;  S05-D01;  S05-D07;  S05-G02G9;  S05-P;  T01-J05B4P;  T01-J06A1;  T01-J16C2	A61K-031/00;  A61K-039/395;  C07K-014/435;  G06N-020/00;  G16H-050/20	IN202211053620-A   07 Oct 2022   A61K-031/00   202203Pages: 15   English	IN202211053620-A    IN11053620    20 Sep 2022		IN11053620    20 Sep 2022										
IN202241039475-A	Artificial intelligence based technique useful for            analyzing genome sequence of cancer patients and            predicting their life expectancy based on cell biology,            comprises artificial intelligence unit, clustering unit            and predictive unit	DESAI V S;  DATTA D A;  RAMPRASAD R;  KANT S;  SASI K A;  NETHRASRI P;  VERMA D;  CHANDANSHIVE S S	DESAI V S (DESA-Individual);  DATTA D A (DATT-Individual);  RAMPRASAD R (RAMP-Individual);  KANT S (KANT-Individual);  SASI K A (SASI-Individual);  NETHRASRI P (NETH-Individual);  VERMA D (VERM-Individual);  CHANDANSHIVE S S (CHAN-Individual)	2022954314	   NOVELTY - Artificial intelligence based technique                comprises artificial intelligence unit (104),                clustering unit (106) and predictive unit                (106).    USE - The artificial intelligence based technique is                useful for analyzing the genome sequence of cancer                patients and predicting their life expectancy based                on cell biology.    ADVANTAGE - The technique is a new and improved artificial                intelligence-based system to study the gene                sequences of cancer patients.    DESCRIPTION OF DRAWING(S) - The drawing shows schematic view of                artificial intelligence based technique to analyze                the genome sequence of cancer patients.    100System    104Artificial intelligence unit    105Clustering unit    106Predictive unit    107Storing database 			B04 (Natural products and polymers. Including testing of body fluids (other than blood typing or cell counting), pharmaceuticals or veterinary compounds of unknown structure, testing of microorganisms for pathogenicity, testing of chemicals for mutagenicity or human toxicity and fermentative production of DNA or RNA. General compositions.);  D16 (Fermentation industry - including fermentation equipment, brewing, yeast production, production of pharmaceuticals and other chemicals by fermentation, microbiology, production of vaccines and antibodies, cell and tissue culture and genetic engineering.);  S03 (Scientific Instrumentation);  T01 (Digital Computers)	B04-E01;  B11-C08F;  B11-C11A;  B12-K04F;  B12-K04G2A;  D05-H09;  S03-E09F;  T01-J05B3;  T01-J16	A61K-039/395;  C12N-015/10;  G01N-033/574;  G16B-020/20;  G16B-030/00	IN202241039475-A   22 Jul 2022   A61K-039/395   202267Pages: 15   English	IN202241039475-A    IN41039475    09 Jul 2022		IN41039475    09 Jul 2022										
IN202241023425-A	Non-invasive targeted delivery of drug molecules            for breast cancer using carbon nanotubes and artificial            intelligence comprises artificial intelligence unit,            carbon nanotubes and cancerous cells	VALSAKUMARI M K;  HAQUE I;  ARUNSANKAR S N;  LAVANDE J P;  ARASU T P;  ELANGOVAN S;  KALITA P;  KAVITHA P;  SUMITHRA P;  VIDYA S	VALSAKUMARI M K (VALS-Individual);  HAQUE I (HAQU-Individual);  ARUNSANKAR S N (ARUN-Individual);  LAVANDE J P (LAVA-Individual);  ARASU T P (ARAS-Individual);  ELANGOVAN S (ELAN-Individual);  KALITA P (KALI-Individual);  KAVITHA P (KAVI-Individual);  SUMITHRA P (SUMI-Individual);  VIDYA S (VIDY-Individual)	202265192B	   NOVELTY - Non-invasive targeted delivery of drug                molecules for breast cancer using carbon nanotubes                and artificial intelligence comprises artificial                intelligence unit, carbon nanotubes and cancerous                cells.    USE - As non-invasive targeted delivery of drug                molecules for breast cancer using carbon nanotubes                and artificial intelligence.    ADVANTAGE - The non-invasive targeted delivery of drug                molecules provides improved treatment for breast                cancer patients using carbon nanotube. 			B07 (General - tablets, dispensers, catheters (excluding drainage and angioplasty), encapsulation etc, but not systems for administration of blood or saline or IV feeding etc.);  B04 (Natural products and polymers. Including testing of body fluids (other than blood typing or cell counting), pharmaceuticals or veterinary compounds of unknown structure, testing of microorganisms for pathogenicity, testing of chemicals for mutagenicity or human toxicity and fermentative production of DNA or RNA. General compositions.);  D16 (Fermentation industry - including fermentation equipment, brewing, yeast production, production of pharmaceuticals and other chemicals by fermentation, microbiology, production of vaccines and antibodies, cell and tissue culture and genetic engineering.);  T01 (Digital Computers)	B04-E99;  B12-M10E;  B12-M11Q1;  B14-H01D1;  D05-H99;  T01-J16	A61K-031/506;  A61K-047/69;  A61K-049/00;  B82Y-005/00;  C12N-015/74	IN202241023425-A   06 May 2022   B82Y-005/00   202244Pages: 14   English	IN202241023425-A    IN41023425    21 Apr 2022		IN41023425    21 Apr 2022										
IN202341038933-A	Performing diagnosis and therapy of cancer using            advanced multifunctional magnetic nanostructures            integrated with artificial intelligence technique            involves designing and implementing framework of            artificial intelligence for studying properties of            multifunctional magnetic nanostructures	MEENA M K;  MOHAN S;  RANI M;  WAGHACHAURE A V;  TUSHIR S;  DHANAVADE S S;  CHORMALE A G;  AHIRWAR R B;  AHIRWAR R C;  RANA D;  JADON V S;  ANANDARAM H	MEENA M K (MEEN-Individual);  MOHAN S (MOHA-Individual);  RANI M (RANI-Individual);  WAGHACHAURE A V (WAGH-Individual);  TUSHIR S (TUSH-Individual);  DHANAVADE S S (DHAN-Individual);  CHORMALE A G (CHOR-Individual);  AHIRWAR R B (AHIR-Individual);  AHIRWAR R C (AHIR-Individual);  RANA D (RANA-Individual);  JADON V S (JADO-Individual);  ANANDARAM H (ANAN-Individual)	2023725055	   NOVELTY - Performing diagnosis and therapy of cancer                using advanced multifunctional magnetic                nanostructures integrated with artificial                intelligence technique involves designing and                implementing a framework of artificial intelligence                for studying the properties of multifunctional                magnetic nanostructures, where the framework                comprises artificial intelligence unit (104) to                analyse the reports of cancer patients before and                after the therapy using multifunctional magnetic                nanostructures, display unit to display the results                of predictive unit (105), predictive unit to                predict the efficacy of multifunctional magnetic                nanostructures in cancer therapy and nanostructure                unit to treat the patients suffering from                cancer.    USE - Method for performing diagnosis and therapy of                cancer using advanced multifunctional magnetic                nanostructures integrated with artificial                intelligence technique.    ADVANTAGE - The method focuses on accurate diagnosis and                therapy of cancer with the intention of increasing                the life span of cancer patients.    DESCRIPTION OF DRAWING(S) - The drawing shows a schematic view of the                system for diagnosis and therapy of cancer using                advanced multifunctional magnetic nanostructures                integrated with artificial intelligence                technique.    100System    102Database    103Multifunctional magnetic nanostructure                unit    104Artificial intelligence unit    105Predictive unit 			B04 (Natural products and polymers. Including testing of body fluids (other than blood typing or cell counting), pharmaceuticals or veterinary compounds of unknown structure, testing of microorganisms for pathogenicity, testing of chemicals for mutagenicity or human toxicity and fermentative production of DNA or RNA. General compositions.);  P81 (Optics (G02).);  S05 (Electrical Medical Equipment);  T01 (Digital Computers)	B12-K04G2A;  B11-C12;  B11-C11;  B11-C08E;  P81-A50C;  P81-U13;  S05-G02G;  T01-J06A1;  T01-J16	A61K-038/00;  A61K-039/00;  A61P-035/00;  G02B-021/36;  G16H-015/00	IN202341038933-A   30 Jun 2023   A61K-038/00   202359   English	IN202341038933-A    IN41038933    06 Jun 2023		IN41038933    06 Jun 2023										
