id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>
1	actuator	-0.6255	-0.4435	2	82	668	44
2	agent	-0.2918	0.6026	6	72	785	50
3	air inlet pipe	0.8224	-0.2788	1	57	268	21
4	airbag	0.8047	0.035	1	21	141	15
5	airtight portion	-0.9203	0.0343	3	16	324	12
6	annular groove	0.8603	-0.5074	1	17	70	18
7	apparatus	-0.5112	0.2758	3	164	2992	196
8	arc	0.7651	-0.1875	1	52	175	24
9	arm	-0.4692	-0.5976	4	70	618	36
10	arrangement	-0.5045	-0.0592	11	95	627	46
11	artificial hot spring	0.0907	2.6446	13	12	458	13
12	assembly	-0.258	-0.5625	2	183	2141	147
13	automobile shock absorber spring mold	-0.2392	1.0942	6	7	338	13
14	autumn	-0.1486	0.3314	3	52	178	13
15	axis	-0.5592	-0.2603	7	86	320	24
16	bar	0.4853	0.199	11	104	900	60
17	base plate	0.6816	0.1591	3	40	315	13
18	bath	-0.5159	0.1635	3	56	188	26
19	bed frame	1.0926	0.4801	6	2	30	10
20	bellow	-0.7744	-0.0473	4	55	377	40
21	beneficial effect	0.6538	-0.2753	1	60	140	14
22	bias spring	-0.7917	-0.3421	2	32	246	19
23	bolt	0.5225	0.0371	1	129	905	77
24	bottle	0.14	0.3004	5	24	280	31
25	bottom end	0.6882	-0.3403	1	123	1054	72
26	bottom plate	1.065	-0.148	1	84	796	71
27	box body	0.952	-0.1403	1	70	619	50
28	building	-0.1872	0.2469	5	99	1596	62
29	bul	-0.433	-0.0608	3	47	106	12
30	buoyant foundation	-0.4849	0.1251	9	11	288	12
31	burner	-0.4803	-0.1697	2	33	199	15
32	button	-0.1281	-0.0603	2	62	415	36
33	bypass pipe	-1.0175	-0.2153	8	24	284	14
34	bypass valve	-0.4546	-0.5457	2	20	166	11
35	cabinet	0.4217	-0.2189	1	35	212	20
36	change	-0.4182	-0.1725	2	112	557	43
37	channel	-0.0355	0.6324	13	148	1355	122
38	chute	0.6414	-0.1511	1	53	244	20
39	circuit	-0.3618	-0.2494	2	152	1096	89
40	circular groove	0.6716	0.3691	6	29	298	13
41	clamp spring	0.5193	0.9072	12	17	245	20
42	clamping block	0.7983	-0.3052	1	57	347	23
43	clamping plate	0.976	-0.1053	1	33	171	10
44	clapboard	0.9687	-0.1088	1	50	316	27
45	closed position	-0.633	-0.3308	2	41	212	18
46	coal	0.668	-0.2704	1	41	235	22
47	coffee bean	-3.693	0.47	14	5	1537	29
48	coil	-0.2894	0.0443	3	107	805	53
49	coil spring	-0.6854	-0.1615	7	86	622	45
50	cold water	-0.2746	-0.1715	2	107	526	38
51	cold water inlet	-0.1752	-0.3445	2	54	242	16
52	cold water tank	0.4896	-0.0776	1	29	231	15
53	collector	0.189	0.1671	12	68	526	49
54	combination	-0.5286	0.1737	9	66	413	24
55	combustion	-0.6914	0.2598	8	38	283	21
56	combustion chamber	-0.7798	0.061	7	25	99	13
57	compound	-0.6117	0.4086	4	36	198	15
58	compression	-1.0051	-0.3673	8	48	196	12
59	compressor	-0.1004	0.2783	3	54	323	21
60	condensate	-0.9799	0.0713	4	31	206	12
61	condensed water	0.0864	0.2534	3	45	445	19
62	condenser	0.2644	0.4424	10	97	835	50
63	conductivity	-0.0673	0.2601	10	115	824	49
64	conductor	-0.6387	-0.0943	7	39	364	33
65	conduit	-0.6932	-0.3847	7	77	618	41
66	connecting pipe	0.7051	-0.1754	1	75	373	30
67	connecting plate	0.9726	-0.1034	1	78	390	24
68	connecting rod	0.7822	-0.179	1	88	410	35
69	connection	-0.0859	-0.3764	2	143	965	53
70	connection pipe	0.02	0.0815	7	23	226	28
71	connector	-0.2659	-0.7528	2	75	541	40
72	constant temperature	-0.0765	0.2151	5	38	189	16
73	constant temperature valve body	0.2036	-0.2415	2	13	149	11
74	container	-0.4568	0.1134	9	152	1977	169
75	contraction	-0.1914	-0.3918	5	50	274	18
76	control plate	0.7998	-0.3726	1	19	147	13
77	control valve	-0.3904	-0.3109	7	74	615	42
78	convenience	0.7145	-0.2011	1	36	104	11
79	coolant	-0.3521	0.1372	3	44	211	13
80	cooler	0.052	-0.6711	5	53	311	29
81	cooling pipe	0.9504	-0.2779	1	33	125	12
82	core post	0.7859	-0.3665	1	5	60	10
83	cover glass pipe	0.5184	1.0026	12	7	146	10
84	cover plate	0.8296	-0.0299	1	67	498	39
85	cradle	-0.7908	-0.482	7	14	219	14
86	cup	0.4752	-0.1739	1	76	842	69
87	cup body	0.8512	-0.2291	1	13	243	21
88	cup cover	0.5958	-0.2624	1	19	237	14
89	cwp	-0.0997	-0.7214	9	3	60	10
90	damping spring	0.9647	-0.2261	1	46	285	20
91	deaerator	0.429	0.3389	9	29	254	22
92	deflector	-0.5822	-0.5913	5	25	177	14
93	degrees c	-0.3207	0.9028	6	43	466	22
94	deposit	-0.7511	-0.0275	3	52	163	13
95	device main body	0.9495	-0.2439	1	48	393	33
96	diameter	-0.1964	-0.3291	4	80	835	38
97	diaphragm	-0.081	-0.1984	2	52	167	16
98	disc spring	-0.8348	-0.3349	4	41	553	33
99	discharge pipe	0.2848	0.3513	10	57	440	22
100	discharge port	-0.4311	-0.395	2	34	197	18
101	distance	-0.0707	0.3503	6	85	336	24
102	drain pipe	0.8526	-0.1873	1	85	507	38
103	drinking water	0.0934	0.481	3	29	265	14
104	dripless connector	-0.422	-1.1101	2	4	50	10
105	dust	0.8462	-0.2355	1	82	619	51
106	earth	-0.5739	0.3231	3	34	168	12
107	elastic body	-1.1937	-0.4756	8	2	30	10
108	elastic force	-0.1967	0.1202	4	56	219	15
109	elbow	-0.8196	-0.9666	4	20	434	12
110	electric energy	0.602	-0.0166	1	67	306	18
111	electric kettle	0.2165	-0.5019	2	32	193	20
112	electric power	-0.3048	0.4493	3	63	382	26
113	electric water heater	-0.1846	-0.2907	2	28	118	15
114	electricity	-0.1045	0.0083	9	111	548	34
115	electro	0.5915	0.0117	1	49	328	25
116	electrode	-0.7048	0.0821	4	26	153	24
117	electromagnetic valve	0.1546	-0.1407	8	41	246	16
118	ensure	-0.4393	-0.1596	5	41	121	10
119	evaporation chamber	-0.5537	-0.125	2	14	122	13
120	evaporator	-0.3005	0.3666	3	70	628	48
121	exhaust pipe	0.7995	0.0322	1	43	196	16
122	expansion medium	-1.0512	0.0666	4	16	466	25
123	facility	-2.976	0.3778	14	59	1411	38
124	feed pipe	-0.457	-0.428	5	22	188	12
125	field	0.4872	0.2042	6	187	969	65
126	figure	-0.5948	-0.2201	2	150	897	67
127	film	0.0905	0.1375	5	54	429	30
128	filter	0.3961	-0.1202	1	89	458	46
129	filter box	1.2291	-0.1146	1	18	297	17
130	filter core	0.9356	-0.3964	1	16	134	10
