PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Xu, YT; Li, HM; Feng, HX; Zhou, C; Wu, YF; Zhang, BH				Xu, YT; Li, HM; Feng, HX; Zhou, C; Wu, YF; Zhang, BH			Silicon isotope study of thermal springs in Jiaodong Region, Shandong Province	SCIENCE IN CHINA SERIES E-TECHNOLOGICAL SCIENCES			English	Article						silicon isotope; thermal spring; water sample; Shandong		Based on delta Si-30 and delta Si-32 isotope geochemistry, the origin and evolutionary mechanism of thermal springs in Jiaodong region are studied. The mean value of delta Si-30 of dissolved silica of thermal spring water in Jiaodong is 0.1 parts per thousand. Thermal spring water ages using delta Si-32 dating method range from 387a. to 965a.	Shandong Normal Univ, Dept Geog, Jinan 250014, Peoples R China; Shandong Geol, Jinan 250014, Peoples R China	Shandong Normal University	Xu, YT (corresponding author), Shandong Normal Univ, Dept Geog, Jinan 250014, Peoples R China.								7	1	2	1	7	SCIENCE PRESS	BEIJING	16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA	1006-9321			SCI CHINA SER E	Sci. China Ser. E-Technol. Sci.	AUG	2001	44			S			155	159		10.1007/BF02916808	http://dx.doi.org/10.1007/BF02916808			5	Engineering, Multidisciplinary; Materials Science, Multidisciplinary	Science Citation Index Expanded (SCI-EXPANDED)	Engineering; Materials Science	481BQ					2023-07-04	WOS:000171498800028
J	LOWELL, RP; KEITH, TEC				LOWELL, RP; KEITH, TEC			CHEMICAL AND THERMAL CONSTRAINTS ON MODELS OF THERMAL SPRINGS VALLEY OF 10000 SMOKES, ALASKA	GEOPHYSICAL RESEARCH LETTERS			English	Article								Thermal (15-30-degrees-C) springs issuing from 1912 ash-flow tuff in the mid-valley region of the Valley of Ten Thousand Smokes consist of meteoric water that may have been heated by an incompletely cooled lens of welded tuff upvalley from the springs. Conductive cooling of the thermal waters along the flow path is the likely cause for the difference between the observed spring temperatures and the source temperature inferred from chemical geothermometry. Conductive cooling alone can not easily account for the seasonal fluctuations in spring temperatures, however. Mixing of the thermal waters with cold meteoric waters would seem a likely possibility; but thermal water chemistry is constant, indicating that mixing does not occur after the water leaves the zone of heating. Even if mixing occurred, simple mixing models do not account totally for the observed temperature differences of the springs from late spring to summer. The geochemical and thermal data argue for a complex hydrological and thermal regime.	US GEOL SURVEY,MENLO PK,CA 94025	United States Department of the Interior; United States Geological Survey	LOWELL, RP (corresponding author), GEORGIA INST TECHNOL,SCH EARTH & ATMOSPHER SCI,ATLANTA,GA 30332, USA.								6	7	7	0	0	AMER GEOPHYSICAL UNION	WASHINGTON	2000 FLORIDA AVE NW, WASHINGTON, DC 20009	0094-8276			GEOPHYS RES LETT	Geophys. Res. Lett.	AUG	1991	18	8					1553	1556		10.1029/91GL01758	http://dx.doi.org/10.1029/91GL01758			4	Geosciences, Multidisciplinary	Science Citation Index Expanded (SCI-EXPANDED)	Geology	GB150					2023-07-04	WOS:A1991GB15000046
J	Esteller, MV; Martinez-Florentino, AK; Morales-Reyes, GP; Cardona, A; Exposito, JL				Esteller, M. V.; Martinez-Florentino, A. K.; Morales-Reyes, G. P.; Cardona, A.; Exposito, J. L.			Mixing processes between thermal waters and non-thermal waters: a case study in Mexico	ENVIRONMENTAL EARTH SCIENCES			English	Article						Thermal waters; Non-thermal waters; Mixing processes; Minor elements (As; Fe; Mn; B; and Li)	GEOTHERMAL-FIELD; LOS-AZUFRES; SPRINGS; GROUNDWATER; ORIGIN; REGION; HYDROGEOCHEMISTRY; HYDROCHEMISTRY; CONTAMINATION; GEOCHEMISTRY	The high content of toxic elements, such as As, in thermal water can cause water-quality problems when thermal water mixes with groundwater and/or surface water destined for human consumption. The objective of the study was to evaluate the mixing process between thermal and non-thermal waters in the Ixtapan de la Sal-Tonatico region of Mexico and to determine the resulting impacts on the quality of water for human consumption. The thermal springs of the study area had an average temperature of 35 degrees C and 5g/L of total dissolved solids (TDS). The dominant ions were Cl- and Na+. The concentrations of As (1.7mg/L), Fe (2.2mg/L), and Mn (0.15mg/L) and the water hardness (2087mg CaCO3/L) exceeded the permissible limits for drinking water. Non-thermal springs, well water, and surface water were characterized as Ca-Na-Cl-HCO3, Ca-Mg-HCO3, and Na-Ca-Cl types, respectively, and had TDS values of 0.8, 0.2, and 0.4-3.9g/L, respectively. The percentages of mixing were calculated based on the concentrations of conservative ions, such as Cl, B, Sr, and Li. The percentage of thermal water spring mixed with non-thermal spring water was around 11% and with surface water ranged from 10 to 30%. This variability is likely related to the proximity of surface water sources to the discharge points of thermal springs. As a result of mixing processes, the non-thermal water (non-thermal springs and surface waters) presents TDS, Cl-, Na+, hardness, As, Fe, and Mn values above those permitted by Mexican regulations for drinking water.	[Esteller, M. V.; Martinez-Florentino, A. K.; Morales-Reyes, G. P.; Exposito, J. L.] Univ Autonoma Estado Mexico, CIRA, Fac Ingn, Cerro Coatepec S-N, Toluca 50130, Estado De Mexic, Mexico; [Cardona, A.] Univ Autonoma San Luis Potosi, Fac Ingn, Dr Manuel Nava 8, San Luis Potosi 78290, San Luis Potosi, Mexico	Universidad Autonoma de San Luis Potosi	Esteller, MV (corresponding author), Univ Autonoma Estado Mexico, CIRA, Fac Ingn, Cerro Coatepec S-N, Toluca 50130, Estado De Mexic, Mexico.	mvestellera@uaemex.mx	Esteller, Maria V./C-6432-2014; Cardona Benavides, Antonio/C-8756-2018	Esteller, Maria V./0000-0002-5832-8741; Cardona Benavides, Antonio/0000-0001-8121-4657	Universidad Autonoma del Estado de Mexico [3716]; CONACYT (Consejo Nacional de Ciencia y Tecnologia)	Universidad Autonoma del Estado de Mexico(Universidad Nacional Autonoma de Mexico); CONACYT (Consejo Nacional de Ciencia y Tecnologia)(Consejo Nacional de Ciencia y Tecnologia (CONACyT))	This work was supported by a research project of the Universidad Autonoma del Estado de Mexico (Grant No 3716). A. K. Martinez-Florentino wishes to thank CONACYT (Consejo Nacional de Ciencia y Tecnologia) for its support. The authors are also pleased to thank the reviewers for their thoughtful, constructive, and useful comments, which greatly improved the manuscript.		43	6	6	1	8	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1866-6280	1866-6299		ENVIRON EARTH SCI	Environ. Earth Sci.	MAY	2019	78	10							295	10.1007/s12665-019-8311-3	http://dx.doi.org/10.1007/s12665-019-8311-3			23	Environmental Sciences; Geosciences, Multidisciplinary; Water Resources	Science Citation Index Expanded (SCI-EXPANDED)	Environmental Sciences & Ecology; Geology; Water Resources	HX5RN					2023-07-04	WOS:000467460600009
J	Kanroji, Y; Mashiko, Y				Kanroji, Y; Mashiko, Y			The deterioration of hot spring resources and the change of chemical constituents with the development of spa	YAKUGAKU ZASSHI-JOURNAL OF THE PHARMACEUTICAL SOCIETY OF JAPAN			Japanese	Review						deterioration; thermal spring resource; chemical constituent change; salt water; underground water intrusion; thermal water over discharge		General aspects of the deterioration and typical examples in some hot springs (Atami, Shirahama, Isawa.Kasugai, and Syuzenji Hot Springs) are outlined in this report in connection with the change of chemical constituents. (1) Deterioration of thermal spring resources generally occurs accompanied with the following phenomena: a) drawdown of the water level in thermal water wells. b) lowering of temperature of thermal springs. c) change of the water quality (salt water encroachment in the coastal region and decrease in concentration of chemical components resulting from the intrusion of underground water in the inland area). (2) Typical examples of the deterioration are summarized as follows; [GRAPHICS] (3) It has been revealed from the analyses of the statistical data of Environment Agency that the deterioration of hot spring resources in Japan is gradually progressing.			Kanroji, Y (corresponding author), HOT SPRING RES CTR INST, TOSHIMA KU, 3-42-10 TAKADA, TOKYO 171, JAPAN.								9	0	0	0	0	PHARMACEUTICAL SOC JAPAN	TOKYO	2-12-15 SHIBUYA, SHIBUYA-KU, TOKYO, 150-0002, JAPAN	0031-6903			YAKUGAKU ZASSHI	Yakugaku Zasshi-J. Pharm. Soc. Jpn.	NOV	1997	117	10-11					836	849		10.1248/yakushi1947.117.10-11_836	http://dx.doi.org/10.1248/yakushi1947.117.10-11_836			14	Pharmacology & Pharmacy	Science Citation Index Expanded (SCI-EXPANDED)	Pharmacology & Pharmacy	YH069	9414594	Bronze			2023-07-04	WOS:A1997YH06900019
J	Li, XQ; Hou, XW; Zhou, ZC; Liu, LX				Li Xiangquan; Hou Xinwei; Zhou Zhichao; Liu Lingxia			Geochemical characterization and origins of the thermal springs in southern Gaoligong Mountains, China	ENVIRONMENTAL EARTH SCIENCES			English	Article						Hydrogeochemistry; Isotope; Thermal spring	GROUNDWATER; WATERS	Hydrogeochemistry and environmental isotope data were utilized to understand origins and characteristics of the thermal springs in southern Gaoligong Mountains, China. The groundwater at the thermal springs has low values of total dissolved solids, and its main water types are Na-HCO3. The thermal springs are mainly recharged from meteoric precipitations. The recharge areas are located near the springs at an approximate elevation of 1,800 m. The groundwater of the thermal springs is immature and partially equilibrated with a strong mixture of the shallow cold waters during the flow process. The shallow cold water accounts for more than 90 %. The temperatures of thermal reservoir that feed the springs are between 146 and 260 A degrees C, and the calculated groundwater circulation depths range from 2,000 to 5,700 m below ground surface.	[Li Xiangquan; Hou Xinwei; Zhou Zhichao; Liu Lingxia] Chinese Acad Geol Sci, Inst Hydrogeol & Environm Geol, Shijiazhuang 050061, Hebei, Peoples R China	Chinese Academy of Geological Sciences	Li, XQ (corresponding author), Chinese Acad Geol Sci, Inst Hydrogeol & Environm Geol, Shijiazhuang 050061, Hebei, Peoples R China.	lxqlm2003@aliyun.com			Ministry of Railway of China [2008G027-A-1, 2008G027-C-2]; National Science Funds of China [40672169]	Ministry of Railway of China; National Science Funds of China	This work was supported by grants from the project of the Ministry of Railway of China (2008G027-A-1,2008G027-C-2) and National Science Funds of China (40672169).		18	1	1	1	20	SPRINGER	NEW YORK	ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES	1866-6280	1866-6299		ENVIRON EARTH SCI	Environ. Earth Sci.	OCT	2014	72	8					3089	3098		10.1007/s12665-014-3214-9	http://dx.doi.org/10.1007/s12665-014-3214-9			10	Environmental Sciences; Geosciences, Multidisciplinary; Water Resources	Science Citation Index Expanded (SCI-EXPANDED)	Environmental Sciences & Ecology; Geology; Water Resources	AQ0SX					2023-07-04	WOS:000342494100028
J	Kilic, S; Kalkan, E; Nadaroglu, H				Kilic, Sara; Kalkan, Ekrem; Nadaroglu, Hayrunnisa			REMOVAL OF ALGAE FROM THERMAL MUD POOL: A CASE STUDY IN KOPRUKOY (ERZURUM, NORTHEAST (NE) TURKEY) THERMAL SPRING AREA	BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA			English	Article						Algae; Algae removal; Thermal water; Thermal mud; Spring area	WATER; PELOTHERAPY; PROVINCE; PELOIDS	Thermal spring areas, which are available globally, are used for recreational purposes or wellness applications because these areas have mineral-rich materials of thermal water and thermal muds. At the same time, thermal spring areas are one of the best habitats for algae among aquatic habitats. If algae formed on the surface of the thermal water in these areas, they create an ugly appearance and disrupt the aesthetics of the water because of their uncontrolled growth. The algae removal applications are the most effective methods for solution of these adversities in the thermal spring areas. In this work, experimental study was carried out to investigate the removal of algae from thermal water and thermal mud pools in the Delicermic-Koprukoy (Erzurum, NE Turkey) thermal spring area. For this purpose, some chemical materials were used for the removal of algae. The results of the experimental studies showed that the Al2SO3+CaO solution is a good material that provides 100% removal of algae from thermal water and thermal mud pools at pH 6.	[Kilic, Sara] Ataturk Univ, Oltu Earth Sci Fac, Geol Engn Dept, TR-25400 Erzurum, Turkey; [Kalkan, Ekrem] Ataturk Univ, Engn Fac, Civil Engn Dept, TR-25400 Erzurum, Turkey; [Nadaroglu, Hayrunnisa] Ataturk Univ, Erzurum Vocat Training Sch, Food Dept, TR-25400 Erzurum, Turkey	Ataturk University; Ataturk University; Ataturk University	Kalkan, E (corresponding author), Ataturk Univ, Engn Fac, Civil Engn Dept, TR-25400 Erzurum, Turkey.	ekalkan@atauni.edu.tr			Scientific Research Project of Ataturk University [PRJ2015/1, 2790]; Ataturk University	Scientific Research Project of Ataturk University(Ataturk University); Ataturk University(Ataturk University)	This experimental research was supported by the Scientific Research Project of Ataturk University with the ID number of 2790 and code of PRJ2015/1. So, the authors thank the authorities of the Ataturk University for the support.		49	0	0	4	6	CHEM SOC ETHIOPIA	ADDIS ABABA	PO BOX 32934, ADDIS ABABA, 00, ETHIOPIA	1011-3924	1726-801X		B CHEM SOC ETHIOPIA	Bull. Chem. Soc. Ethiop.		2022	36	3					545	553		10.4314/bcse.v36i3.5	http://dx.doi.org/10.4314/bcse.v36i3.5			9	Chemistry, Multidisciplinary	Science Citation Index Expanded (SCI-EXPANDED)	Chemistry	3D0WK		gold			2023-07-04	WOS:000829032800005
J	Shakeri, A; Ghoreyshinia, S; Mehrabi, B				Shakeri, Ata; Ghoreyshinia, Sayedkazem; Mehrabi, Behzad			Surface and Groundwater Quality in Taftan Geothermal Field, SE Iran	WATER QUALITY EXPOSURE AND HEALTH			English	Article						Taftan; Geothermal system; Trace elements; Contamination; Thermal spring; Groundwater; Geochemistry; Iran	HYDROTHERMAL SYSTEM; THERMAL SPRINGS; TRACE-ELEMENTS; WEST-BENGAL; GEOCHEMISTRY; CONTAMINATION; WATER; AREA; CHEMISTRY; BEHAVIOR	Geochemical characteristics and potentially toxic element contents of groundwater, thermal springs, and cold springs of Taftan area in the southeast of Iran examined in two different seasons in order to assess their quality and possible contamination source. Groundwater and spring water samples were collected in May and September 2012 and analyzed for major parameters, anions, cations, and potentially toxic elements. Groundwater is the local source of drinking water and along with cold springs is used for agricultural irrigation. Thermal springs are mainly used for bathing and balneological purposes. For both wells and springs under study, boron was found to have the higher concentration than the specifications in WHO standards except for PF spring. Arsenic, Fe, Mn, Pb, and Ni in thermal springs and most of groundwater samples and cold springs indicate higher concentration than those of WHO standard. The low Na/Ca and Na/K ratios in STS and TTS thermal springs confirm these waters associated with up-flow zones, while higher Na/K ratios for cold springs reveal effects of lateral flows. Conservative elements indicate that thermal springs fall within the hydrothermal field, indicating magmatic affiliation of the thermal waters. High concentrations of trace elements and major ions in well water, thermal springs, and acidic cold springs provide evidences for water-rock interaction processes and the presence of active deep circulations. Saturation indices (SI) show that thermal waters are oversaturated with respect to quartz, chalcedony, alunite, gypsum, celestite, and barite, evident by precipitation of sulfate and siliceous minerals in the most recent precipitates of the geothermal system. The cold springs and groundwater are oversaturated with chalcedony, quartz, hematite (four water wells), and goethite (two water wells), slightly highlighting the mixing of the groundwater with thermal and acidic springs. The SI indicates that the Fe-phase minerals could control mobility of As in the groundwater of the Taftan area. The present study is addressing a significant risk of toxic elements in groundwater resource management, in the volcanic regions in the southeast of Iran, and suggests some preventive measures for controlling adverse effects of using such waters for drinking and irrigation.	[Shakeri, Ata; Ghoreyshinia, Sayedkazem; Mehrabi, Behzad] Kharazmi Univ, Fac Earth Sci, Dept Geochem, Tehran, Iran	Kharazmi University	Shakeri, A (corresponding author), Kharazmi Univ, Fac Earth Sci, Dept Geochem, 49 Mofatteh Ave,POB 15614, Tehran, Iran.	shakeri1353@gmail.com	Mehrabi, Behzad/W-4179-2019	Mehrabi, Behzad/0000-0002-8184-1623	Sistan and Baluchestan regional water company of Iran	Sistan and Baluchestan regional water company of Iran	The authors wish to express their gratitude to Sistan and Baluchestan regional water company of Iran for financial support. We would also like to extend our thanks to the research committee of Kharazmi University for logistic assistance.		52	12	12	0	13	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	1876-1658	1876-1666		WATER QUAL EXPOS HEA	Water Qual. Expos. Health	JUN	2015	7	2					205	218		10.1007/s12403-014-0141-7	http://dx.doi.org/10.1007/s12403-014-0141-7			14	Water Resources	Science Citation Index Expanded (SCI-EXPANDED)	Water Resources	CH8EB					2023-07-04	WOS:000354267900008
J	Giampaoli, S; Valeriani, F; Gianfranceschi, G; Vitali, M; Delfini, M; Festa, MR; Bottari, E; Romano Spica, V				Giampaoli, S.; Valeriani, F.; Gianfranceschi, G.; Vitali, M.; Delfini, M.; Festa, M. R.; Bottari, E.; Romano Spica, Vincenzo			Hydrogen sulfide in thermal spring waters and its action on bacteria of human origin	MICROCHEMICAL JOURNAL			English	Article						Hydrogen sulfide; Thermal spring water; Pools; Bacteria; Disinfection; Hygiene	STAPHYLOCOCCUS-AUREUS; ATOPIC-DERMATITIS; MINERAL-WATER; SPA	Hydrogen sulfide (H2S) is a molecule dissolved in many thermal spring waters at variable concentration. The H2S effects of thermal waters treatments have long been studied, for dermatological and clinical treatments, but its role in recreational waters was never investigated. The use of sulfur spring waters in pools raises concerns related to disinfection by oxidants. The aim of this work is to evaluate the survival rate of microbial species in waters with different titers of H2S. Four selected thermal waters collected from Italian springs, belonging to different chemical categories, have been tested in comparison to Tyrrhenian sea water and natural mineral bottled water. Results show inhibition properties on bacterial proliferation that seem related to H2S concentrations. To further asses this phenomenon H2S was added to thermal and natural mineral waters. The results strongly support a bactericidal role of H2S in thermal spring waters used for recreational purposes. These observations open up new perspectives for a disinfectant role of H2S in pool treatment and management. (c) 2012 Elsevier B.V. All rights reserved.	[Giampaoli, S.; Valeriani, F.; Gianfranceschi, G.; Romano Spica, Vincenzo] Univ Rome Faro Italico, Unit Publ Hlth, I-00135 Rome, Italy; [Vitali, M.] Univ Roma La Sapienza, Dept Publ Hlth & Infect Dis, I-00185 Rome, Italy; [Delfini, M.; Festa, M. R.; Bottari, E.] Univ Roma La Sapienza, Dept Chem, I-00185 Rome, Italy	Sapienza University Rome; Sapienza University Rome	Romano Spica, V (corresponding author), Univ Rome Faro Italico, Unit Publ Hlth, Pzza L De Bosis 6, I-00135 Rome, Italy.	vincenzo.romanospica@uniroma4.it	Delfini, Maurizio/M-4278-2015; Romano Spica, Vincenzo/V-5718-2019; Vitali, Matteo/H-2891-2019	Delfini, Maurizio/0000-0002-6317-2024; Vitali, Matteo/0000-0002-1001-6343; Valeriani, Federica/0000-0002-9478-6299	Fondazione per la Ricerca Scientifica Termale grants; Greeenertech srl; MDD (Molecular Digital Diagnostics srl, University spin-off)	Fondazione per la Ricerca Scientifica Termale grants; Greeenertech srl; MDD (Molecular Digital Diagnostics srl, University spin-off)	This work has been funded by Fondazione per la Ricerca Scientifica Termale grants. Part of the described work have been supported by Greeenertech srl and MDD (Molecular Digital Diagnostics srl, University spin-off) still involved in prototype development for enhancement of antimicrobial properties inherent in thermal waters (patent pending).		33	21	21	1	29	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0026-265X	1095-9149		MICROCHEM J	Microchem J.	MAY	2013	108						210	214		10.1016/j.microc.2012.10.022	http://dx.doi.org/10.1016/j.microc.2012.10.022			5	Chemistry, Analytical	Science Citation Index Expanded (SCI-EXPANDED)	Chemistry	110FD					2023-07-04	WOS:000316427100034
J	Mao, XM; Wang, YX; Zhan, HB; Feng, L				Mao, Xumei; Wang, Yanxin; Zhan, Hongbin; Feng, Liang			Geochemical and isotopic characteristics of geothermal springs hosted by deep-seated faults in Dongguan Basin, Southern China	JOURNAL OF GEOCHEMICAL EXPLORATION			English	Article						Water geochemistry; H and O isotopes; Geothermometer; Thermal spring; Deep-seated fault	SUBDUCTION-RELATED MAGMATISM; YELLOWSTONE-NATIONAL-PARK; NA-K; VOLCANIC-ROCKS; HOT-SPRINGS; ACTIVE TECTONICS; FUMAROLIC GASES; WATERS; OXYGEN; DISCHARGES	Chemical and isotopic compositions of thermal springs and non-thermal springs and well from Dongguan Basian of Southern China were measured and used to assess the mechanism of hydrothermal system hosted by deep-seated faults. Thermal springs had relatively higher temperatures and dissolved ion contents than non-thermal springs and wells, and were classified as water chemistry type of HCO3-Na + K. The reservoir temperatures were determined with their chemical compositions, and 131.0 to 138.9 degrees C estimated by a quartz geothermometer after steam loss were regarded as the most suitable assessment. Inadequate equilibrium between water and rock interaction is mostly speculated and the mixing with shallow non-thermal groundwater probably has minor contribution to the thermal springs. Stable isotope compositions of thermal springs ranged from -45.1 parts per thousand. to -40.8 parts per thousand. for 5D and from -72%. to -6.9 parts per thousand for delta O-18, respectively. These isotopic results were almost identical to those of non-thermal springs. All the thermal and non-thermal groundwater samples scattered around the meteoric water lines, thus indicating meteoric water origin without further influences of evaporation and groundwater-rock interaction. The similarity of thermal and non-thermal groundwater in chemical and isotopic compositions suggested that groundwater migrating and being heated very quickly in a relatively fast conductive fracture system hosted by deep-seated faults mostly represented the mechanism of thermal springs. (C) 2015 Elsevier B.V. All rights reserved.	[Mao, Xumei; Wang, Yanxin; Feng, Liang] China Univ Geosci, Sch Environm Studies, State Key Lab Biogeol & Environm Geol, Wuhan 430074, Peoples R China; [Zhan, Hongbin] Texas A&M Univ, Dept Geol & Geophys, College Stn, TX 77843 USA	China University of Geosciences; Texas A&M University System; Texas A&M University College Station	Mao, XM (corresponding author), China Univ Geosci, Sch Environm Studies, State Key Lab Biogeol & Environm Geol, Wuhan 430074, Peoples R China.	maoxumei@cug.edu.cn	Zhan, Hongbin/B-3464-2008	Zhan, Hongbin/0000-0003-2060-4904	National Natural Science foundation of China [40602031, 41440027]; Fundamental Research Funds for the Central Universities [CUGL090213]; Nature Science Foundation of Hubei Province [2011045003]; China Geological Survey project [1212011220014]	National Natural Science foundation of China(National Natural Science Foundation of China (NSFC)); Fundamental Research Funds for the Central Universities(Fundamental Research Funds for the Central Universities); Nature Science Foundation of Hubei Province(Natural Science Foundation of Hubei Province); China Geological Survey project(China Geological Survey)	This research project was financially supported jointly by the National Natural Science foundation of China (Grant Nos. 40602031, 41440027), Fundamental Research Funds for the Central Universities (Grant No. CUGL090213), Nature Science Foundation of Hubei Province (Grant No. 2011045003), and China Geological Survey project (Grant No. 1212011220014).		68	29	34	5	60	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0375-6742	1879-1689		J GEOCHEM EXPLOR	J. Geochem. Explor.	NOV	2015	158						112	121		10.1016/j.gexplo.2015.07.008	http://dx.doi.org/10.1016/j.gexplo.2015.07.008			10	Geochemistry & Geophysics	Science Citation Index Expanded (SCI-EXPANDED)	Geochemistry & Geophysics	CR5UW					2023-07-04	WOS:000361410900010
J	Zimik, HV; Farooq, SH; Prusty, P				Zimik, Horthing V.; Farooq, S. H.; Prusty, P.			Geochemical evaluation of thermal springs in Odisha, India	ENVIRONMENTAL EARTH SCIENCES			English	Article						Thermal spring mixing; Hydrochemistry; Temporal and spatial variation of thermal waters	WATERS; TURKEY; AREA; HYDROCHEMISTRY; GROUNDWATER; EVOLUTION; BASIN; STATE; FIELD	The Indian state of Odisha has a number of thermal springs. These thermal springs are located at eight places (Attri, Tarabalo, Deulajhari, Magarmuhan, Bankhol, Badaberena, Taptapani and Boden) and belong to Mahanadi Geothermal Province, which is an Archean/Pre-Cambrian Geothermal Province. The thermal water discharging from these springs shows moderately acidic to moderately alkaline character (pH: 5.058.93) and the temperature ranges from 28 (Boden) to 58 degrees C (Tarabalo). Total dissolved solids (TDS) also shows a wide variation between 16.9 (Bankhol) and 595 mg/L (Deulajhari). A wide variation in the chemical characteristics of the thermal waters has been observed as they are located in different geological settings. Based on water chemistry, all the thermal springs can broadly be grouped into three water types: Na-Cl, Ca-HCO3 and Na-HCO3. The thermal spring water from Attri, Tarabalo and Deulajhari belongs to Na-Cl water type which is due to the circulation through granitic rocks. Higher concentrations of Cl and F in these thermal waters further suggest limited mixing and longer residence time as compared to the other areas where Ca-HCO3 and Na-HCO3 water types were found. Anion variation diagram clearly indicates that the thermal waters from Attri, Tarabalo and Deulajhari are fast ascending and fall in the mature water field; thus, their chemical signatures can be used to determine the reservoir temperature. However, in other areas, water chemistry is shaped by near-surface groundwater mixing processes and thus the chemical geothermometers may not be applicable to determine the reservoir temperature. No appreciable temporal variations have been observed in the water chemistry of the thermal waters.	[Zimik, Horthing V.; Farooq, S. H.; Prusty, P.] Indian Inst Technol Bhubaneswar, Sch Earth Ocean & Climate Sci, Argul 752050, Jatni, India	Indian Institute of Technology System (IIT System); Indian Institute of Technology (IIT) - Bhubaneswar	Zimik, HV (corresponding author), Indian Inst Technol Bhubaneswar, Sch Earth Ocean & Climate Sci, Argul 752050, Jatni, India.	hv11@iitbbs.ac.in	Prusty, Pintu/GSO-1779-2022	Prusty, Pintu/0000-0001-9706-7401; VASHAI ZIMIK, HORTHING/0000-0001-6353-928X	Ministry of Earth Sciences (MoES), Govt. of India through Bay of Bengal Coastal Observatory (BoBCO); Council of Scientific & Industrial Research (CISR), India [09/1059(008)/2014-EMR-I]	Ministry of Earth Sciences (MoES), Govt. of India through Bay of Bengal Coastal Observatory (BoBCO); Council of Scientific & Industrial Research (CISR), India	The authors are thankful to the Ministry of Earth Sciences (MoES), Govt. of India for providing the financial support through Bay of Bengal Coastal Observatory (BoBCO). Horthing V. Zimik gratefully acknowledges the financial support recieved from the Council of Scientific & Industrial Research (CISR), India through the research fellowship (award number 09/1059(008)/2014-EMR-I). Indian Institute of Technology Bhubaneswar is specially thanked for providing necessary laboratory facility to carry out this research work. TRMM 3B43 monthly precipitation data used in this study are freely available at https://giovanni.sci.gsfc.nasa.gov/giovanni/. ECMWF surface temperature data are freely available at http://apps.ecmwf.int/datasets/data/interim-full-daily/levtype=sfc/. The authors thank the anonymous reviewer for the valuable suggestions and comments which helped improve the quality of the original manuscript.		44	16	16	1	12	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1866-6280	1866-6299		ENVIRON EARTH SCI	Environ. Earth Sci.	SEP	2017	76	17							593	10.1007/s12665-017-6925-x	http://dx.doi.org/10.1007/s12665-017-6925-x			12	Environmental Sciences; Geosciences, Multidisciplinary; Water Resources	Science Citation Index Expanded (SCI-EXPANDED)	Environmental Sciences & Ecology; Geology; Water Resources	FH0GG					2023-07-04	WOS:000410817000005
