id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
22	abundance	0.9022	-0.1401	1	10	11	5	2014.4	5.4	2.0286
76	age	-0.0554	-0.7379	5	22	28	5	2006.4	34	1.599
83	air-temperature	0.9692	0.7089	1	12	17	5	2015.4	30.6	1.9515
94	algae	0.9127	-0.0332	1	26	35	7	2018.2857	4.4286	0.6503
97	algeria	-0.5304	0.7489	4	29	39	8	2012.25	17.625	1.4552
143	anatolia	-0.5974	0.6357	4	44	69	9	2017.2222	11.5556	1.118
155	anomalies	-0.2833	-0.8017	4	30	48	7	2014.8571	10.1429	1.1276
198	aquifer	0.0848	0.0289	1	60	103	19	2018.2632	7.4737	0.9904
201	aquifers	-0.5507	0.101	3	61	86	13	2017.2308	18.2308	1.8521
203	arc	-0.8855	-0.6513	3	24	32	5	2013	18.8	1.206
217	area	-0.4725	0.3532	6	128	406	54	2016.6852	12.1296	1.337
219	areas	0.2363	-0.1362	1	44	60	12	2014.0833	14.6667	1.3567
224	arsenic	-0.5418	-0.689	3	41	49	7	2018.4286	16	1.7217
289	bacteria	0.8429	-0.3144	1	47	67	13	2017.5385	11.2308	1.3723
293	bacterial diversity	1.0428	-0.3025	1	21	29	8	2017.75	5.375	0.6104
312	bakreswar	0.425	0.3441	6	34	47	7	2015.8571	13.8571	0.9799
319	balneotherapy	0.7836	-0.5727	1	28	33	13	2018	6.3077	0.7961
335	basin	-0.2644	-0.0274	3	103	205	29	2016.9655	13	1.2963
342	bay	0.4485	0.0699	1	21	21	5	2015	12	0.7884
347	behavior	-0.2195	-0.1132	3	58	76	11	2015.0909	13.1818	1.1689
374	biodiversity	0.9839	-0.0178	1	60	99	22	2016.5455	13.5455	1.477
377	biofilms	0.9566	-0.2661	1	25	29	6	2017	11.3333	1.1487
415	boron	-0.3694	-0.2439	3	46	65	10	2011.1	16	1.3625
433	brines	-0.5823	-0.8902	3	32	40	6	2018.3333	12	1.1409
449	budapest	0.8628	-0.5303	1	21	25	5	2014	6	0.4944
466	calcite	0.2621	-0.555	8	21	24	5	2005.4	58.2	2.398
470	caldera	-0.1889	-0.4751	3	23	29	5	2014.8	6.8	0.5455
472	california	0.2971	0.6732	2	37	41	6	2010.8333	36	1.7765
479	canada	0.0424	0.0812	3	21	25	6	2009.3333	25	1.1669
489	carbon	-0.7666	0.2362	6	67	117	18	2014.1667	15.0556	1.3175
529	cave	0.8423	-0.4646	1	19	23	6	2017	4	0.5314
548	central anatolia	-1.0532	0.6866	6	26	32	5	2015.6	17.4	1.4077
579	chemical characteristics	0.9945	-0.4042	1	29	45	10	2016.2	38.3	1.9108
580	chemical composition	-0.1793	-0.1937	7	41	54	11	2011.7273	10	0.782
585	chemical geothermometry	-0.8482	0.6803	6	52	81	12	2015.0833	11.75	1.0251
587	chemical-composition	-0.521	0.48	6	55	100	16	2011.25	38.375	1.858
589	chemistry	-0.1483	-0.049	9	142	311	45	2013.5778	19.1111	1.3755
601	china	-0.4713	0.1123	4	63	100	13	2016.8462	11.4615	2.0045
623	circulation	0.2836	0.971	2	54	82	12	2017.4167	10.3333	1.2276
628	classification	0.7714	0.1396	1	34	38	9	2015.3333	27.6667	1.8687
635	climate	0.8966	0.401	1	23	26	6	2015.6667	14.1667	0.9312
636	climate change	0.792	0.461	1	40	58	9	2016.6667	19.8889	1.903
637	climate-change	0.9214	0.5327	1	57	112	22	2017.8182	16.3636	1.8216
644	co2	-0.6358	-0.3035	7	60	91	14	2014.9286	10.2857	1.0285
685	communities	0.991	-0.2209	1	45	64	13	2019.2308	8	0.9378
687	community	1.0622	-0.2119	1	22	26	5	2015	10.4	1.4369
714	conservation	1.029	0.0636	1	28	33	8	2015.75	16.125	2.5467
716	constraints	-0.906	-0.325	3	43	58	8	2018.125	5.625	0.737
721	contamination	0.0396	-0.4638	3	52	76	10	2018.1	9.1	1.1034
788	cyanobacteria	0.922	0.1457	1	24	39	9	2016	15	1.1417
817	deccan traps	-0.3861	-0.4823	3	35	43	6	2014.3333	19.5	1.5136
836	deformation	-0.4964	0.5619	2	27	33	5	2019.4	4.8	0.4583
863	deposits	0.0538	-0.3471	8	30	36	8	2009	26.375	1.2763
900	discharge	0.0868	0.6684	2	57	96	16	2015.1875	14.625	1.1323
901	discharges	-0.6087	0.3435	6	69	129	18	2010.7222	32.8889	1.7885
926	diversity	1.0484	-0.1301	1	62	128	26	2017.5	11.0769	1.3638
944	drinking-water	0.4318	-0.562	5	48	67	12	2014.8333	9.25	1.2168
952	drummond basin	0.5806	-0.2804	8	15	22	6	2006.1667	35.5	2.2032
960	dynamics	0.7666	0.7248	1	30	43	11	2013.8182	19	1.634
964	earthquake	-0.5227	-0.2283	4	61	114	16	2017.25	7.1875	1.5767
966	earthquake prediction	-1.1678	-0.197	4	15	21	5	2010.4	4.6	0.2568
991	ecology	0.8649	0.2402	1	25	28	5	2016.6	5.6	0.4251
1026	elements	-0.7803	-0.4971	10	53	81	11	2016.8182	4.8182	0.7027
1039	energy	-1.1132	0.1889	7	25	31	5	2015.8	30.8	1.955
1055	environment	0.7699	-0.163	1	21	22	5	2008.8	19.4	1.4038
1065	environmental isotopes	-0.4141	0.7938	6	44	79	10	2016	9.5	0.9071
1089	equilibria	-0.7179	0.4061	6	140	495	70	2013	16.7143	1.263
1120	evolution	-0.3446	0.1039	3	161	501	77	2015.1299	14.1818	1.1284
1137	exposure	0.6914	-0.2695	1	25	27	6	2015	11	0.9511
